date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:39:12	29662/29662	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2014:39:12%20GMT	https://mahakalofficialbook.com/	C:/Users/sm/Desktop/mahakal%20bok/book/mahakalofficialbook.com/index.html	(from )
07:39:12	31/31	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20May%202022%2007:40:16%20GMT	https://mahakalofficialbook.com/robots.txt		(from )
07:39:13	52515/52515	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Oct%202023%2003:26:20%20GMT	https://mahakalofficialbook.com/uploads/setting/c2331251e54f93bbf6fa94db8cabb4c9.jpg	C:/Users/sm/Desktop/mahakal%20bok/book/mahakalofficialbook.com/uploads/setting/c2331251e54f93bbf6fa94db8cabb4c9.jpg	(from https://mahakalofficialbook.com/)
07:39:13	4562/4562	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2003:39:20%20GMT	https://mahakalofficialbook.com/assets/md/css/owl.css	C:/Users/sm/Desktop/mahakal%20bok/book/mahakalofficialbook.com/assets/md/css/owl.css	(from https://mahakalofficialbook.com/)
07:39:13	24293/24293	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jul%202022%2007:10:01%20GMT	https://mahakalofficialbook.com/assets/md/css/main.css	C:/Users/sm/Desktop/mahakal%20bok/book/mahakalofficialbook.com/assets/md/css/main.css	(from https://mahakalofficialbook.com/)
07:39:13	14540/14540	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2003:36:12%20GMT	https://mahakalofficialbook.com/assets/md/css/responsive.css	C:/Users/sm/Desktop/mahakal%20bok/book/mahakalofficialbook.com/assets/md/css/responsive.css	(from https://mahakalofficialbook.com/)
07:39:14	92980/92980	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20May%202022%2003:36:58%20GMT	https://mahakalofficialbook.com/assets/md/js/jquery.min.js	C:/Users/sm/Desktop/mahakal%20bok/book/mahakalofficialbook.com/assets/md/js/jquery.min.js	(from https://mahakalofficialbook.com/)
07:39:14	89536/89536	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20May%202022%2003:37:16%20GMT	https://mahakalofficialbook.com/assets/md/js/owl.js	C:/Users/sm/Desktop/mahakal%20bok/book/mahakalofficialbook.com/assets/md/js/owl.js	(from https://mahakalofficialbook.com/)
07:39:14	3333/3333	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20May%202022%2003:37:40%20GMT	https://mahakalofficialbook.com/assets/md/js/at-jquery.js	C:/Users/sm/Desktop/mahakal%20bok/book/mahakalofficialbook.com/assets/md/js/at-jquery.js	(from https://mahakalofficialbook.com/)
07:39:14	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/sm/Desktop/mahakal%20bok/book/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://mahakalofficialbook.com/)
